Date,Open,High,Low,Close,Adj,CloseVolume
1970-01-01,0.925926,1.049383,0.699588,0.757202,0.172504,23062000
1970-02-01,0.757202,0.868313,0.625514,0.823045,0.187504,49695800
1970-03-01,0.823045,0.823045,0.679012,0.748971,0.170629,15904400
1970-04-01,0.748971,0.769547,0.604938,0.650206,0.148128,22940400
1970-05-01,0.650206,0.670782,0.539095,0.600823,0.136878,19957200
1970-06-01,0.600823,0.613169,0.407407,0.411523,0.094229,26174200
1970-07-01,0.411523,0.502058,0.395062,0.444444,0.101767,21179200
1970-08-01,0.444444,0.555556,0.411523,0.530864,0.122462,25076200
1970-09-01,0.530864,0.617284,0.526749,0.559671,0.129107,21837000
1970-10-01,0.551440,0.576132,0.473251,0.477366,0.110121,14777600
1970-11-01,0.477366,0.497942,0.427984,0.481481,0.111821,13883200
1970-12-01,0.481481,0.514403,0.444444,0.469136,0.108954,25515000
1971-01-01,0.481481,0.641975,0.481481,0.641975,0.149095,34358000
1971-02-01,0.641975,0.818930,0.641975,0.699588,0.163329,36781400
1971-03-01,0.716049,0.773663,0.613169,0.683128,0.159486,35893400
1971-04-01,0.683128,0.806584,0.666667,0.769547,0.179662,26765000
1971-05-01,0.769547,0.831276,0.740741,0.757202,0.177515,24685200
1971-06-01,0.757202,0.806584,0.613169,0.666667,0.156290,21228400
1971-07-01,0.666667,0.674897,0.502058,0.530864,0.124453,16858600
1971-08-01,0.534979,0.576132,0.514403,0.518519,0.122305,14149400
1971-09-01,0.518519,0.539095,0.489712,0.493827,0.116481,15936200
1971-10-01,0.493827,0.588477,0.493827,0.506173,0.119393,14499800
1971-11-01,0.506173,0.518519,0.444444,0.497942,0.118220,21840400
1971-12-01,0.502058,0.654321,0.502058,0.613169,0.145577,29254800
1972-01-01,0.625514,0.872428,0.625514,0.835391,0.198336,58244400
1972-02-01,0.827160,0.868313,0.765432,0.798354,0.189543,23856600
1972-03-01,0.802469,0.839506,0.679012,0.786008,0.187369,19538800
1972-04-01,0.790123,0.847737,0.691358,0.736625,0.175597,32101400
1972-05-01,0.736625,0.777778,0.658436,0.744856,0.178383,17316000
1972-06-01,0.744856,0.744856,0.674897,0.687243,0.164586,11148000
1972-07-01,0.687243,0.794239,0.683128,0.695473,0.166556,12430200
1972-08-01,0.695473,0.802469,0.695473,0.748971,0.179369,14207800
1972-09-01,0.748971,0.769547,0.699588,0.757202,0.182163,9117400
1972-10-01,0.757202,0.761317,0.699588,0.720165,0.173252,9971800
1972-11-01,0.720165,0.864198,0.695473,0.827160,0.198993,37175400
1972-12-01,0.827160,0.880658,0.810700,0.823045,0.198912,24840800
1973-01-01,0.835391,0.884774,0.724280,0.769547,0.185982,20703600
1973-02-01,0.769547,0.802469,0.707819,0.711934,0.172059,11714200
1973-03-01,0.711934,0.753086,0.658436,0.679012,0.164818,15141000
1973-04-01,0.679012,0.683128,0.588477,0.592593,0.143841,15762400
1973-05-01,0.592593,0.691358,0.576132,0.621399,0.150834,13604000
1973-06-01,0.613169,0.613169,0.539095,0.563786,0.137545,22107600
1973-07-01,0.563786,0.654321,0.555556,0.637860,0.155617,15187800
1973-08-01,0.637860,0.646091,0.522634,0.543210,0.132525,14184000
1973-09-01,0.543210,0.683128,0.539095,0.633745,0.155419,17670400
1973-10-01,0.633745,0.674897,0.584362,0.629630,0.154410,18473800
1973-11-01,0.629630,0.666667,0.452675,0.473251,0.116060,26138400
1973-12-01,0.473251,0.485597,0.386831,0.407407,0.100437,22330000
1974-01-01,0.407407,0.477366,0.382716,0.469136,0.115655,20699200
1974-02-01,0.456790,0.522634,0.419753,0.502058,0.123771,13050600
1974-03-01,0.502058,0.518519,0.452675,0.465021,0.115861,7952200
1974-04-01,0.465021,0.514403,0.452675,0.481481,0.119962,7144800
1974-05-01,0.481481,0.592593,0.473251,0.551440,0.137392,15367400
1974-06-01,0.551440,0.613169,0.543210,0.580247,0.145917,11047200
1974-07-01,0.580247,0.596708,0.477366,0.559671,0.140742,17654600
1974-08-01,0.559671,0.674897,0.559671,0.572016,0.145091,30243600
1974-09-01,0.572016,0.609053,0.526749,0.530864,0.134653,16267800
1974-10-01,0.530864,0.596708,0.497942,0.592593,0.150310,18474400
1974-11-01,0.592593,0.654321,0.563786,0.629630,0.159705,18087400
1974-12-01,0.617284,0.617284,0.497942,0.518519,0.133646,13668000
1975-01-01,0.518519,0.572016,0.497942,0.559671,0.144253,13302200
