Date,Dividend
1984-05-29,0.136
1984-10-12,0.104
1985-05-29,0.176
1985-10-11,0.144
1986-04-04,0.2848
1986-09-19,0.1952
1987-04-08,0.3742
1987-09-18,0.2942
1988-04-15,0.4706
1988-09-23,0.3436
1989-04-07,0.4918
1989-09-22,0.3624
1989-12-01,0.4424
1990-03-30,0.447
1990-04-11,1.288
1990-06-07,2.298
1990-06-15,0.487
1990-09-13,0.0
1990-09-14,0.554
1991-04-05,0.462
1991-06-07,0.482
1991-09-20,0.572
1992-03-27,0.542
1992-08-14,0.658
1993-04-02,0.88
1993-08-06,0.298
1994-04-15,0.4669
1994-08-19,0.3314
1995-03-31,0.5332
1995-08-11,0.3582
1996-03-22,0.5619
1996-08-16,0.4227
1997-03-19,0.6625
1997-08-13,0.4092
1998-03-25,0.5225
1998-11-04,0.2646
1999-04-01,0.6991
1999-08-11,0.1568
2000-03-15,0.6265
2000-08-09,0.258
2001-03-07,0.566
2001-08-08,0.2649
2002-03-06,0.6234
2002-08-07,0.3146
2003-03-05,0.7509
2003-08-06,0.3623
2004-03-03,0.9528
2004-08-04,0.4413
2005-03-09,1.0953
2005-08-03,0.4922
2006-03-08,1.158
2006-08-02,0.57818
2007-03-07,1.58714
2007-08-01,0.74504
2008-03-05,1.85906
2008-08-06,0.77852
2009-03-11,1.85002
2009-08-19,0.883057
2010-03-10,2.17901
2010-08-18,1.04405
2011-03-09,2.65504
2011-08-17,1.18677
2012-03-07,2.85509
2012-08-15,1.35671
2013-03-13,2.87463
2013-08-21,1.45129
2014-03-12,3.29472
2014-08-20,1.52533
2015-03-18,3.06166
2015-08-19,1.49287
2016-03-16,3.02922
2016-08-17,1.33247
2017-03-15,1.52394
2017-08-16,0.758569
2017-12-28,0.606868
2018-03-22,0.661142
2018-06-28,0.628153
2018-10-04,0.621712
2018-12-27,0.632496
2019-03-21,0.659699
2019-06-27,0.615597
2019-10-03,0.652137
