Date,Open,High,Low,Close,Adj,CloseVolume
1970-01-01,3.541667,3.541667,3.000000,3.031250,0.320587,5422400
1970-02-01,3.041667,3.375000,3.000000,3.312500,0.350333,6408800
1970-03-01,3.322917,3.729167,3.322917,3.656250,0.386688,6969600
1970-04-01,3.656250,3.697917,3.114583,3.197917,0.338214,5940800
1970-05-01,3.197917,3.302083,2.541667,2.916667,0.308469,6474400
1970-06-01,2.916667,3.125000,2.843750,2.885417,0.305164,3416000
1970-07-01,2.875000,2.916667,2.500000,2.729167,0.288639,5365600
1970-08-01,2.729167,2.927083,2.604167,2.781250,0.294147,4443200
1970-09-01,2.781250,2.989583,2.750000,2.968750,0.313977,4788000
1970-10-01,2.968750,3.125000,2.802083,2.875000,0.304062,4564000
1970-11-01,2.875000,3.260417,2.833333,3.229167,0.341519,4472800
1970-12-01,3.250000,3.666667,3.250000,3.562500,0.376773,7092800
1971-01-01,3.562500,3.979167,3.510417,3.968750,0.419738,6489600
1971-02-01,3.968750,4.010417,3.718750,3.906250,0.413128,5580800
1971-03-01,3.906250,4.083333,3.885417,3.968750,0.419738,6916000
1971-04-01,3.968750,4.479167,3.937500,4.458333,0.471517,5645600
1971-05-01,4.458333,4.520833,4.031250,4.125000,0.436263,3224800
1971-06-01,4.125000,4.406250,4.041667,4.062500,0.429654,5495200
1971-07-01,4.062500,4.187500,3.979167,4.062500,0.429654,6856000
1971-08-01,4.072917,4.625000,3.770833,4.489583,0.474822,8160000
1971-09-01,4.489583,4.656250,4.104167,4.239583,0.448382,9268800
1971-10-01,4.187500,4.197917,3.593750,3.677083,0.388891,12105600
1971-11-01,3.677083,3.895833,3.177083,3.479167,0.367959,15489600
1971-12-01,3.479167,4.125000,3.458333,3.937500,0.416433,9629600
1972-01-01,3.937500,4.145833,3.895833,4.104167,0.434060,6512800
1972-02-01,4.104167,4.166667,4.031250,4.041667,0.427450,5882400
1972-03-01,4.041667,4.531250,4.031250,4.479167,0.473720,7348800
1972-04-01,4.479167,4.625000,4.437500,4.520833,0.478127,5711200
1972-05-01,4.520833,4.895833,4.156250,4.729167,0.500161,6899200
