Date,Dividend
1983-07-01,0.02634
1983-10-03,0.02634
1984-01-04,0.02634
1984-04-04,0.02634
1984-07-03,0.02893
1984-10-03,0.02893
1985-01-04,0.02893
1985-04-03,0.02893
1985-07-03,0.02893
1985-10-04,0.02893
1986-01-06,0.56
1986-04-04,0.58
1986-07-03,0.58
1986-10-06,0.64
1987-01-05,0.32
1987-04-06,0.32
1987-07-06,0.4
1987-10-05,0.4
1988-01-04,0.4
1988-04-04,0.4
1988-07-01,0.47
1988-10-03,0.47
1989-01-04,0.47
1989-04-04,0.47
1989-07-03,0.55
1989-10-03,0.55
1990-01-04,0.55
1990-04-04,0.55
1990-07-03,0.64
1990-10-03,0.64
1991-01-04,0.32
1991-04-04,0.32
1991-07-03,0.37
1991-10-04,0.37
1992-01-06,0.37
1992-04-06,0.37
1992-07-06,0.42
1992-10-05,0.42
1993-01-04,0.42
1993-04-02,0.42
1993-07-02,0.47
1993-10-04,0.47
1994-01-04,0.47
1994-04-04,0.47
1994-07-01,0.47
1994-10-03,0.47
1995-01-04,0.47
1995-04-04,0.47
1995-04-05,0.47
1995-05-30,0.0
1995-07-04,0.47
1995-07-06,0.47
1995-10-05,0.47
1996-01-04,0.47
1996-01-08,0.47
1996-04-08,0.5
1996-07-08,0.5
1996-10-07,0.5
1996-10-08,0.5
1997-01-08,0.5
1997-04-08,0.53
1997-07-08,0.53
1997-10-08,0.53
1998-01-07,0.53
1998-04-07,0.53
1998-07-08,0.53
1998-10-07,0.53
1999-01-06,0.55
1999-04-07,0.55
1999-07-07,0.55
1999-10-06,0.55
2000-01-06,0.275
2000-04-06,0.275
2000-07-06,0.275
2000-10-05,0.275
2001-01-08,0.275
2001-04-06,0.275
2001-07-06,0.275
2001-10-05,0.275
2002-01-08,0.275
2002-04-08,0.275
2002-07-08,0.275
2002-10-08,0.275
2003-01-08,0.275
2003-04-08,0.275
2003-07-08,0.275
2003-10-08,0.275
2004-01-08,0.275
2004-04-07,0.275
2004-07-08,0.31
2004-10-06,0.31
2005-01-06,0.31
2005-04-07,0.31
2005-07-07,0.33
2005-10-05,0.33
2006-01-06,0.34
2006-04-06,0.34
2006-07-06,0.35
2006-10-05,0.35
2007-01-08,0.37
2007-04-05,0.37
2007-07-06,0.39
2007-10-05,0.39
2008-01-08,0.39
2008-04-08,0.4
2008-07-08,0.43
2008-10-08,0.43
2009-01-08,0.43
2009-04-07,0.43
2009-07-08,0.47
2009-10-07,0.47
2010-01-07,0.49
2010-04-08,0.49
2010-07-08,0.28
2010-10-06,0.28
2011-01-06,0.28
2011-04-07,0.28
2011-07-07,0.305
2011-10-05,0.305
2012-01-06,0.305
2012-04-05,0.305
2012-07-06,0.33
2012-10-05,0.33
2013-01-08,0.33
2013-04-08,0.33
2013-07-08,0.38
2013-10-08,0.38
2014-01-08,0.38
2014-04-08,0.41
2014-07-08,0.41
2014-10-08,0.41
2015-01-08,0.41
2015-04-08,0.44
2015-07-08,0.44
2015-10-07,0.44
2015-10-08,0.44
2016-01-07,0.44
2016-04-07,0.46
2016-07-07,0.48
2016-10-05,0.48
2017-01-06,0.48
2017-04-06,0.48
2017-07-06,0.49
2017-10-06,0.49
2018-01-09,0.49
2018-04-09,0.49
2018-07-09,0.49
2018-10-09,0.49
2019-01-09,0.49
2019-04-09,0.49
2019-07-09,0.49
2019-10-09,0.49
