Date,Open,High,Low,Close,Adj,CloseVolume
1970-01-01,15.375000,15.875000,13.062500,13.062500,2.832536,1412600
1970-02-01,13.062500,14.187500,12.750000,13.750000,2.981616,1180200
1970-03-01,13.750000,14.500000,12.812500,13.500000,2.949949,1813200
1970-04-01,13.500000,13.750000,11.250000,11.687500,2.553891,1289600
1970-05-01,11.687500,12.125000,10.500000,11.812500,2.581205,1559600
1970-06-01,11.812500,13.187500,11.687500,12.312500,2.715071,1496000
1970-07-01,12.312500,13.250000,11.750000,12.625000,2.783981,2447400
1970-08-01,12.625000,14.062500,12.500000,13.562500,2.990712,1050400
1970-09-01,13.562500,14.062500,13.250000,13.500000,3.001639,1525400
1970-10-01,13.500000,14.187500,13.375000,13.687500,3.043330,1408000
1970-11-01,13.687500,15.000000,13.562500,14.937500,3.321256,1269200
1970-12-01,14.937500,16.187500,14.562500,15.875000,3.556284,1691600
1971-01-01,15.875000,16.500000,14.625000,15.062500,3.374269,1761600
1971-02-01,15.062500,16.250000,14.812500,15.187500,3.402274,2686600
1971-03-01,15.187500,16.125000,14.625000,15.312500,3.454399,3695600
1971-04-01,15.312500,17.500000,15.000000,16.187500,3.651793,2941800
1971-05-01,16.187500,16.375000,15.500000,15.937500,3.595395,1589800
1971-06-01,15.937500,16.687500,15.687500,16.562500,3.761137,1699000
1971-07-01,16.562500,17.000000,15.562500,15.562500,3.534047,1783200
1971-08-01,15.562500,17.500000,14.812500,17.062500,3.874680,2702200
1971-09-01,17.062500,17.625000,16.125000,16.812500,3.844429,1616600
1971-10-01,16.812500,16.875000,14.625000,15.000000,3.429974,1871000
1971-11-01,14.937500,15.375000,13.687500,14.187500,3.244184,1465400
1971-12-01,14.312500,16.000000,14.312500,15.937500,3.671788,2990200
1972-01-01,15.937500,16.562500,15.062500,15.187500,3.498999,2533600
1972-02-01,15.187500,16.250000,14.750000,15.625000,3.599793,2478600
1972-03-01,15.500000,15.750000,14.875000,15.625000,3.626286,3422000
1972-04-01,15.625000,16.750000,15.375000,15.750000,3.655295,2156200
1972-05-01,15.750000,15.875000,14.562500,15.125000,3.510245,2614800
1972-06-01,15.125000,15.187500,13.750000,14.000000,3.273264,2293000
1972-07-01,14.000000,14.937500,13.250000,14.750000,3.448617,1491600
1972-08-01,14.750000,15.187500,14.562500,14.812500,3.463230,1658400
1972-09-01,14.875000,15.125000,14.125000,14.625000,3.444663,1292000
1972-10-01,14.625000,14.687500,13.375000,13.562500,3.194410,1404400
1972-11-01,13.562500,16.312500,13.500000,16.000000,3.768520,2863400
1972-12-01,16.000000,16.375000,14.937500,15.750000,3.736936,1860600
1973-01-01,15.750000,15.937500,14.187500,14.312500,3.395869,1828200
1973-02-01,14.312500,14.437500,12.500000,13.125000,3.114115,2313000
1973-03-01,13.125000,14.687500,12.750000,13.250000,3.170921,2087200
1973-04-01,13.250000,13.937500,12.687500,12.812500,3.066218,1372600
1973-05-01,12.812500,13.937500,12.500000,13.000000,3.111091,1578400
1973-06-01,13.000000,13.062500,10.625000,11.312500,2.730080,1347600
1973-07-01,11.250000,12.562500,10.375000,11.500000,2.775331,2149000
1973-08-01,11.500000,12.000000,9.812500,11.125000,2.684831,2632800
1973-09-01,11.250000,13.125000,11.250000,12.437500,3.037103,1834400
1973-10-01,12.375000,12.375000,10.312500,10.812500,2.640295,2947800
1973-11-01,10.812500,11.000000,7.500000,7.687500,1.877203,3936600
1973-12-01,7.625000,7.687500,6.250000,7.625000,1.889527,3721800
1974-01-01,7.625000,8.687500,7.187500,8.375000,2.075380,2410800
1974-02-01,8.312500,8.750000,7.375000,8.375000,2.075380,1264400
1974-03-01,8.375000,9.187500,8.250000,8.250000,2.078765,1607600
1974-04-01,8.250000,8.875000,8.125000,8.625000,2.173255,1152800
1974-05-01,8.625000,9.187500,8.187500,8.312500,2.094513,892200
1974-06-01,8.312500,9.062500,7.875000,8.250000,2.110025,1024400
1974-07-01,8.250000,8.312500,7.187500,7.500000,1.918205,1219800
1974-08-01,7.500000,8.625000,6.812500,7.250000,1.854265,1302400
1974-09-01,7.250000,7.500000,6.500000,6.687500,1.735738,789000
1974-10-01,6.687500,7.562500,6.625000,7.000000,1.816846,2312600
1974-11-01,7.000000,7.500000,6.562500,6.625000,1.719517,1179200
1974-12-01,6.562500,6.562500,5.875000,6.437500,1.702055,1415600
1975-01-01,6.437500,8.187500,6.375000,8.000000,2.115175,2050800
1975-02-01,8.000000,8.187500,7.562500,7.812500,2.065601,1413000
1975-03-01,7.812500,8.750000,7.562500,8.687500,2.337116,1874600
1975-04-01,8.687500,9.812500,8.375000,9.250000,2.488442,2036000
1975-05-01,9.250000,9.750000,8.750000,8.937500,2.404372,1854400
1975-06-01,8.937500,9.625000,8.437500,9.500000,2.592736,1869600
1975-07-01,9.500000,10.187500,8.875000,9.250000,2.524505,1953600
1975-08-01,9.250000,9.687500,8.812500,9.562500,2.609793,1068600
1975-09-01,9.562500,9.937500,9.062500,9.500000,2.632680,1626800
1975-10-01,9.500000,10.687500,9.375000,10.375000,2.875163,1926400
1975-11-01,10.375000,11.562500,10.000000,11.312500,3.134967,2213200
1975-12-01,11.312500,11.375000,10.062500,10.875000,3.052318,1830800
1976-01-01,10.875000,12.562500,10.812500,12.375000,3.473328,3685600
1976-02-01,12.375000,12.625000,11.000000,11.125000,3.122487,3546200
1976-03-01,11.125000,11.937500,10.812500,11.062500,3.140375,3061000
1976-04-01,11.062500,11.187500,10.187500,10.937500,3.104890,2896800
1976-05-01,10.875000,10.937500,10.062500,10.250000,2.909725,1956200
1976-06-01,10.250000,11.875000,10.062500,11.500000,3.306374,2809200
1976-07-01,11.500000,12.500000,10.875000,11.062500,3.180589,2531800
1976-08-01,11.062500,11.750000,10.687500,11.187500,3.216526,1793800
1976-09-01,11.187500,12.312500,11.000000,11.875000,3.456917,3181600
1976-10-01,11.875000,12.000000,10.250000,10.875000,3.165810,1634000
1976-11-01,10.875000,11.875000,10.687500,11.625000,3.384141,1803800
1976-12-01,11.625000,11.937500,11.062500,11.875000,3.498751,2092400
1977-01-01,11.750000,11.937500,10.875000,11.125000,3.277777,2644800
1977-02-01,11.125000,11.687500,10.000000,10.750000,3.167290,3198800
1977-03-01,10.750000,10.875000,9.812500,9.937500,2.963726,3346400
1977-04-01,9.937500,10.125000,9.250000,9.750000,2.907806,3668200
1977-05-01,9.750000,10.562500,9.562500,9.562500,2.851889,2343000
1977-06-01,9.562500,10.562500,9.562500,10.062500,3.042844,2509400
1977-07-01,10.062500,10.687500,10.000000,10.375000,3.137343,2174600
1977-08-01,10.375000,10.687500,9.500000,9.687500,2.929448,3229800
1977-09-01,9.687500,10.062500,9.187500,9.500000,2.917635,2121000
1977-10-01,9.500000,9.500000,8.562500,8.875000,2.725685,2911600
1977-11-01,8.875000,9.312500,8.562500,8.875000,2.725685,3143200
1977-12-01,8.875000,8.875000,8.375000,8.625000,2.698669,3451800
1978-01-01,8.625000,8.812500,8.125000,8.375000,2.620445,2598800
