Date,Open,High,Low,Close,Adj,CloseVolume
1970-01-01,0.365435,0.392044,0.354791,0.355678,0.020466,54115400
1970-02-01,0.355678,0.375192,0.337495,0.353904,0.020364,51691400
1970-03-01,0.353904,0.356565,0.309555,0.313990,0.018068,61598500
1970-04-01,0.313990,0.325521,0.269641,0.290929,0.016817,65431700
1970-05-01,0.290929,0.298025,0.188926,0.204892,0.011844,74789500
1970-06-01,0.204892,0.243032,0.156995,0.166752,0.009639,68447500
1970-07-01,0.163204,0.168526,0.142803,0.159656,0.009229,48280900
1970-08-01,0.159656,0.191587,0.137482,0.187152,0.010818,36555800
1970-09-01,0.183604,0.203118,0.170300,0.191587,0.011075,66869400
1970-10-01,0.191587,0.215536,0.179170,0.188039,0.010912,52240900
1970-11-01,0.188039,0.196022,0.174735,0.180943,0.010501,51578600
1970-12-01,0.180943,0.221744,0.178283,0.212875,0.012354,92574600
1971-01-01,0.212875,0.246580,0.209327,0.240371,0.013949,42037800
1971-02-01,0.240371,0.272302,0.238597,0.253676,0.014721,35090000
1971-03-01,0.253676,0.318425,0.251902,0.278511,0.016163,77875600
1971-04-01,0.275850,0.306007,0.265206,0.280285,0.016305,54932600
1971-05-01,0.278511,0.293590,0.258997,0.277624,0.016150,28959600
1971-06-01,0.280285,0.308668,0.279398,0.282059,0.016408,36161200
1971-07-01,0.282946,0.297138,0.260771,0.273189,0.015892,21899100
1971-08-01,0.273189,0.322860,0.263432,0.274963,0.015995,44673100
1971-09-01,0.274963,0.318425,0.264319,0.316651,0.018420,37950800
1971-10-01,0.316651,0.331730,0.282946,0.284720,0.016603,41826400
1971-11-01,0.284720,0.299798,0.266980,0.297138,0.017327,52593400
1971-12-01,0.297138,0.352130,0.297138,0.339712,0.019810,149157000
1972-01-01,0.339712,0.358339,0.322860,0.356565,0.020793,52255000
1972-02-01,0.356565,0.388496,0.347695,0.386722,0.022551,41826500
1972-03-01,0.390270,0.402688,0.384948,0.396479,0.023120,33286100
1972-04-01,0.396479,0.425749,0.389383,0.402688,0.023524,26183400
1972-05-01,0.402688,0.494047,0.364548,0.484290,0.028291,51141700
1972-06-01,0.484290,0.513560,0.459454,0.487838,0.028498,31834400
1972-07-01,0.487838,0.513560,0.463002,0.510012,0.029794,25817100
1972-08-01,0.510012,0.549039,0.469211,0.503803,0.029431,40233800
1972-09-01,0.503803,0.524204,0.462115,0.512673,0.029949,50592000
1972-10-01,0.512673,0.525091,0.476307,0.490499,0.028696,36639800
1972-11-01,0.494934,0.532187,0.486064,0.525091,0.034130,35766300
1972-12-01,0.529526,0.627093,0.529526,0.613789,0.039895,38796500
1973-01-01,0.615563,0.671442,0.612015,0.639511,0.041567,55355600
1973-02-01,0.639511,0.653703,0.591614,0.609354,0.039607,44180000
1973-03-01,0.613789,0.654590,0.565892,0.598710,0.038915,58244500
1973-04-01,0.596049,0.612902,0.564118,0.580083,0.037746,37795900
1973-05-01,0.580083,0.594275,0.519769,0.576536,0.037516,72238700
1973-06-01,0.574762,0.588953,0.523317,0.562344,0.036592,67193300
1973-07-01,0.555248,0.627980,0.520656,0.619997,0.040344,51790000
1973-08-01,0.619997,0.647494,0.503803,0.568553,0.036996,41558700
1973-09-01,0.568553,0.629754,0.526865,0.621771,0.040459,58653200
1973-10-01,0.621771,0.714017,0.604032,0.684747,0.044612,56229200
1973-11-01,0.684747,0.686521,0.541056,0.549926,0.035828,85204200
1973-12-01,0.542830,0.596049,0.511786,0.573875,0.037388,63670300
1974-01-01,0.573875,0.588953,0.495821,0.583631,0.038024,65911200
1974-02-01,0.580083,0.580083,0.489612,0.579196,0.037735,62993900
1974-03-01,0.578309,0.654590,0.558796,0.611128,0.039815,56031900
1974-04-01,0.611128,0.622658,0.557909,0.585405,0.038183,39641800
1974-05-01,0.585405,0.642172,0.583631,0.623545,0.040670,52635500
1974-06-01,0.624432,0.649268,0.582744,0.588953,0.038414,55862800
