Date,Open,High,Low,Close,Adj,CloseVolume
1972-06-01,0.000000,0.901042,0.841146,0.882813,0.207692,40790400
1972-07-01,0.882813,0.945313,0.875000,0.895833,0.210755,43118400
1972-08-01,0.895833,0.958333,0.885417,0.890625,0.209530,46190400
1972-09-01,0.890625,0.895833,0.835938,0.893229,0.210924,44860800
1972-10-01,0.888021,0.888021,0.812500,0.854167,0.201700,48792000
1972-11-01,0.854167,0.937500,0.851563,0.911458,0.215229,48729600
1972-12-01,0.911458,0.945313,0.880208,0.893229,0.211948,38083200
1973-01-01,0.898438,0.934896,0.838542,0.872396,0.207005,41337600
1973-02-01,0.872396,0.916667,0.833333,0.882813,0.209477,40065600
1973-03-01,0.882813,0.914063,0.802083,0.859375,0.204676,53635200
1973-04-01,0.859375,0.869792,0.807292,0.822917,0.195993,40948800
1973-05-01,0.822917,0.890625,0.815104,0.869792,0.207157,37828800
1973-06-01,0.869792,0.989583,0.830729,0.968750,0.231592,56942400
1973-07-01,0.968750,1.091146,0.929688,1.031250,0.246533,49948800
1973-08-01,1.031250,1.049479,0.901042,0.968750,0.231592,45796800
1973-09-01,0.968750,0.979167,0.880208,0.929688,0.223044,29260800
1973-10-01,0.929688,1.059896,0.901042,1.020833,0.244911,44659200
1973-11-01,1.010417,1.010417,0.890625,0.890625,0.213672,36811200
1973-12-01,0.890625,0.908854,0.799479,0.901042,0.217254,31238400
1974-01-01,0.901042,0.940104,0.770833,0.789063,0.190254,34665600
1974-02-01,0.789063,0.820313,0.760417,0.799479,0.192765,19214400
1974-03-01,0.799479,0.859375,0.770833,0.781250,0.188370,26476800
1974-04-01,0.781250,0.820313,0.690104,0.710938,0.172160,23265600
1974-05-01,0.710938,0.739583,0.679688,0.729167,0.176574,31612800
1974-06-01,0.729167,0.820313,0.729167,0.760417,0.185147,27331200
1974-07-01,0.760417,0.770833,0.598958,0.598958,0.145835,30950400
1974-08-01,0.598958,0.658854,0.500000,0.510417,0.124277,40891200
